用户id,昵称,魅力总收入,房间游戏总计
5a5d8fd88ea6a005db93655d,AS～胡子哥,124494,6351880
5abe44838ea6a041bb27f44d,lucky水冰月,10260,4035760
5ab994ff8ea6a06934481ef9,AS_锦宝宝,776,73790
5ac1b42a8ea6a005d207a723,九五、小猪,2128,85160
5ac1db058ea6a005d207d4f3,lucky-九尾,12510,1171950
5ab90f118ea6a06934480427,Lucky逗逗,250,801270
5aba07c88ea6a06934485289,HQ_奈奈,14532,3456880
5abf1aae8ea6a005d205b8fb,上神,22736,1141210
5ac5d7bc8ea6a005d20aefa6,星辰美璇,10,130
5abf2afd8ea6a005d205c64f,星辰🎀兔神,870,251220
5ac5e7378ea6a005d20b0230,霸爷👑💃,314,548540
5a13d5271d41c806463128ff,HQ甜柚🍉,3159,1113240
5ac064ea8ea6a005d206ad55,king 阿洛,91132,582525
5ac06ddc8ea6a005d206b526,星辰小小雅,0,412780
5ac437378ea6a005d2099c5b,nan 穆.,0,276650
5ac83e548ea6a005fb239acc,lucky小怡酱,366,368370
5ac321668ea6a005d208caf5,九五、丁温柔,30,59900
5a13cf121d41c8064630fcb8,HQ&安儿,126,524690
5ac995018ea6a005fb250e01,lucky躲躲,1250,52060
5ab6570e8ea6a06934436f44,QM点点,412,79280
5abf76b08ea6a005d206229c,luky宝贝坏,4297,1135550
5ac05fe28ea6a005d206aa0d,enthusiastic,0,2660
5ac58f848ea6a005d20aab14,九五、和风,6372,853785
5ac5d26b8ea6a005d20ae9de,lucky北北,1414,674480
5ac3a12d8ea6a005d2096a69,QM 红唇阿,70,594570
5a8918ab8ea6a005e55b1e99,麻辣糖,0,230
5ac0533c8ea6a005d206a1ab,lucky奶糖,10,110
5ac3a7288ea6a005d2096fe8,小八,240,1458720
5ac071c58ea6a005d206b921,lucky左拉,0,167140
5ab65fe98ea6a06934437f89,QM南瓜,3202,2783810
5ac1db7f8ea6a005d207d57a,新🌙琪琪,1831,119970
5ac24d0a8ea6a005d2085ed5,九五、小飞天,3208,955940
5a13c95e1d41c8064630d242,GS-尛妞,12139,3212150
5ac2ec798ea6a005d208937b,爱情爸爸,842,242420
5aa770418ea6a005e5bd464f,九亿少女的梦😈,0,800
5abe0fac8ea6a041bb27b566,lucky桔梗,310,421910
5ac0e87c8ea6a005d2074495,星晨.于小鱼,38371,671575
5ab9dbfb8ea6a06934482d5d,AS-Lay,800,328095
5ac068878ea6a005d206b0ee,king宁道,6052,564990
5abfa13e8ea6a005d2065947,星辰、娇妹儿🔆,15442,693485
5ac04ddb8ea6a005d2069d91,lucky佳妮,852,813665
5abf073d8ea6a005d205aa15,Lucky仙女雪,5315,4295360
5ab790e88ea6a0693445b6fb,HQ达令,12683,1754840
5ac1d55f8ea6a005d207ce80,Lucky666,12844,362370
5ac838748ea6a005fb239202,lucky小姐姐,784,429580
5ab783668ea6a06934459cae,爱笑的甜甜,30,105
5abda66c8ea6a041bb275bc3,lucky小苒,12636,1049620
5abd24b38ea6a041bb274483,Lucky米多,1738,3144440
5abf99cd8ea6a005d2064f40,星辰/Coco ,1220,3325670
5ac650f18ea6a005d20b9a01,阳光☀郭雅婷💋,18758,75940
5ac309998ea6a005d208ae74,lucky卿卿,16286,995250
5ab9d1308ea6a06934482ab8,lucky馨宝,15517,3742455
5abf6ed18ea6a005d20616bc,lucky小白菜,4318,1921500
5ab88f448ea6a06934479540,九五、可楽儿,386,468370
5abf6d558ea6a005d2061556,九五丶独角兽,10534,2014965
5ac037638ea6a005d206903f,lucky咩咩,330,526930
